id,purchase_id,product_id,amount,price,discount,marketing_rule
2676-0,2676,2400,1,996,25,1
2676-1,2676,3067,1,375,16,0
2676-2,2676,2266,1,592,57,1
2676-3,2676,1566,1,795,6,1
2676-4,2676,1166,1,383,35,0
2676-5,2676,2306,1,835,50,0
2676-6,2676,2037,1,313,5,1
2676-7,2676,2832,1,999,76,0
2676-8,2676,1128,1,977,0,1
20396-0,20396,1512,2,887,21,0
47074-0,47074,2763,2,869,27,1
81023-0,81023,1133,1,934,97,1
81023-1,81023,2342,1,574,45,1
81023-2,81023,3158,2,724,75,0
81023-3,81023,1812,2,955,27,1
5448-0,5448,1363,2,106,0,0
5448-1,5448,1341,1,665,56,0
5448-2,5448,1314,2,691,55,0
5448-3,5448,2536,1,748,98,1
5448-4,5448,2909,1,551,64,1
37835-0,37835,1498,1,126,16,0
37835-1,37835,1880,1,998,31,0
37835-2,37835,2105,1,964,51,1
37835-3,37835,2252,1,877,70,1
37835-4,37835,1450,3,586,42,0
37835-5,37835,1651,3,868,86,1
37835-6,37835,2332,1,803,36,0
37835-7,37835,1653,2,288,50,1
2458-0,2458,1379,1,748,86,1
2458-1,2458,2154,1,561,99,0
2458-2,2458,1874,1,955,92,1
2458-3,2458,1202,1,662,70,0
2458-4,2458,2212,1,823,41,0
2458-5,2458,1215,1,446,87,1
2458-6,2458,3017,1,595,40,1
2458-7,2458,2942,2,372,9,1
2458-8,2458,2213,1,191,11,1
14289-0,14289,2431,1,323,55,0
92258-0,92258,3017,1,134,84,0
50941-0,50941,3030,1,149,56,0
50941-1,50941,2571,1,634,41,0
50941-2,50941,2736,1,758,63,0
50941-3,50941,1890,1,597,45,0
50941-4,50941,1294,2,384,81,1
50941-5,50941,1314,1,237,29,0
50941-6,50941,1849,1,408,4,1
50941-7,50941,2395,1,635,75,1
50941-8,50941,1831,3,786,38,1
50941-9,50941,2916,1,704,59,0
50637-0,50637,2613,1,552,42,0
50637-1,50637,2858,3,498,35,1
17300-0,17300,2471,1,732,17,1
17300-1,17300,1199,1,581,93,1
40342-0,40342,1749,1,818,5,1
40342-1,40342,1653,1,207,39,1
40342-2,40342,1890,2,183,27,0
40342-3,40342,2858,2,336,22,1
40342-4,40342,1450,1,789,87,0
40342-5,40342,1830,1,772,66,1
40342-6,40342,1804,1,250,48,1
13322-0,13322,2683,1,889,51,0
13322-1,13322,1702,1,849,94,1
13322-2,13322,2407,2,318,69,0
13322-3,13322,2235,1,451,9,1
13322-4,13322,2933,1,596,89,0
60673-0,60673,1209,1,253,48,0
60673-1,60673,2212,1,776,55,1
60673-2,60673,2902,3,381,99,1
60673-3,60673,2037,1,554,82,0
12451-0,12451,2832,3,639,99,0
12451-1,12451,1852,2,608,9,1
12451-2,12451,2577,1,482,83,1
12451-3,12451,1934,2,987,12,1
12451-4,12451,1912,1,418,10,0
12451-5,12451,1653,1,709,75,0
12451-6,12451,2763,3,804,88,1
49121-0,49121,2536,1,901,54,0
83447-0,83447,2409,1,825,86,1
83447-1,83447,2130,1,714,82,1
29860-0,29860,2128,2,480,5,0
29860-1,29860,1227,2,338,88,0
29860-2,29860,2278,1,698,85,1
29860-3,29860,2153,1,425,63,1
29860-4,29860,2060,2,380,57,0
29860-5,29860,2627,1,431,31,1
29860-6,29860,2241,2,307,49,1
29860-7,29860,1573,1,424,95,1
18232-0,18232,2909,1,206,53,1
18232-1,18232,1890,1,833,71,0
18232-2,18232,2212,2,346,35,1
18232-3,18232,2168,1,365,29,1
18232-4,18232,1797,2,621,62,0
18232-5,18232,1912,1,156,6,1
18232-6,18232,1251,1,230,8,0
18232-7,18232,2342,1,110,64,0
18232-8,18232,1515,1,159,32,1
18232-9,18232,2613,2,661,10,0
43683-0,43683,2128,1,832,39,0
43683-1,43683,1890,1,855,37,0
43683-2,43683,2933,2,719,53,1
43683-3,43683,2963,2,975,50,1
43683-4,43683,1899,1,798,62,1
43683-5,43683,1498,3,318,26,0
43683-6,43683,1942,1,369,28,0
43683-7,43683,2577,1,694,71,0
98298-0,98298,1128,1,291,75,0
98298-1,98298,1908,2,784,7,1
98298-2,98298,1341,2,529,36,0
98298-3,98298,1251,1,526,52,1
46715-0,46715,1341,1,647,87,0
46715-1,46715,2169,3,877,11,1
46715-2,46715,1081,2,878,23,1
46715-3,46715,1450,1,224,24,1
46715-4,46715,2742,2,925,8,0
46715-5,46715,3030,1,150,8,1
46715-6,46715,2048,2,538,34,0
46715-7,46715,2124,1,762,100,1
46715-8,46715,2400,1,758,72,1
60240-0,60240,2925,1,205,23,0
60240-1,60240,2436,1,253,43,1
60240-2,60240,2513,1,974,21,0
60240-3,60240,2266,1,666,65,0
69723-0,69723,1169,1,102,79,0
69723-1,69723,1470,1,662,0,1
69723-2,69723,2332,1,892,63,1
69723-3,69723,2513,1,196,4,1
69723-4,69723,1934,1,289,18,1
69723-5,69723,2571,1,213,74,0
69723-6,69723,3111,1,320,32,1
69723-7,69723,2482,1,318,99,0
69723-8,69723,1166,1,988,5,1
50305-0,50305,2112,1,352,38,0
50305-1,50305,2905,1,158,75,1
50305-2,50305,1209,1,749,73,0
50305-3,50305,2241,3,441,58,0
50305-4,50305,1849,1,642,68,0
49813-0,49813,1912,1,363,84,1
49813-1,49813,2982,1,621,5,1
49813-2,49813,1874,1,616,62,1
49813-3,49813,3042,2,995,90,1
49813-4,49813,1450,2,693,57,1
49813-5,49813,2612,2,734,91,1
49813-6,49813,1797,1,949,91,0
741-0,741,2019,1,613,90,0
741-1,741,2787,1,815,87,1
13209-0,13209,2409,1,697,74,0
13209-1,13209,2471,3,438,20,0
13209-2,13209,2306,2,289,37,1
13209-3,13209,1534,1,171,37,1
13209-4,13209,2048,3,947,62,1
13209-5,13209,1929,1,970,62,1
13209-6,13209,1485,1,150,73,0
3658-0,3658,1312,1,944,96,0
3658-1,3658,1199,1,493,60,1
3658-2,3658,2252,1,312,19,0
3658-3,3658,1133,3,502,19,1
3658-4,3658,1379,1,342,49,0
3658-5,3658,2241,1,540,54,0
30739-0,30739,2472,1,518,82,0
30123-0,30123,2513,1,971,66,1
30123-1,30123,2177,3,397,65,0
30123-2,30123,1202,1,446,19,1
30123-3,30123,1485,2,759,39,0
30123-4,30123,3067,1,766,9,0
30123-5,30123,1450,2,887,21,0
30123-6,30123,2763,1,159,48,1
1330-0,1330,2736,1,214,61,0
22067-0,22067,2417,1,393,52,1
22067-1,22067,2252,1,499,69,1
22067-2,22067,1163,3,173,95,0
22067-3,22067,1566,2,461,78,0
22067-4,22067,2767,1,380,13,1
22067-5,22067,2925,2,907,40,0
22067-6,22067,2982,1,375,31,0
22067-7,22067,1870,3,227,19,0
22067-8,22067,2767,1,387,24,1
22067-9,22067,2410,1,410,14,0
95288-0,95288,2203,3,502,84,1
95288-1,95288,1908,1,302,90,1
95288-2,95288,1621,1,959,11,0
95288-3,95288,2037,2,623,84,1
95288-4,95288,2902,2,668,45,1
95288-5,95288,1823,1,764,57,1
95288-6,95288,1899,1,864,21,0
180-0,180,2903,2,320,55,1
180-1,180,1752,1,375,62,1
56739-0,56739,1934,1,139,79,0
56739-1,56739,1830,1,718,68,1
56739-2,56739,2812,1,903,67,0
56739-3,56739,2139,1,237,33,0
56739-4,56739,2278,1,430,11,0
56739-5,56739,1638,1,874,91,1
20345-0,20345,2407,1,280,95,0
20345-1,20345,2241,1,901,96,0
45860-0,45860,1209,1,819,67,0
45860-1,45860,1166,2,541,48,1
45860-2,45860,2903,1,651,94,1
45860-3,45860,1638,2,855,69,1
45860-4,45860,1929,2,533,20,0
45860-5,45860,1651,2,813,91,0
64685-0,64685,2736,1,426,39,0
64685-1,64685,1485,1,385,97,0
91585-0,91585,2060,1,385,84,1
91585-1,91585,2774,1,364,37,1
91585-2,91585,2627,2,725,22,1
91585-3,91585,1831,1,916,11,1
91585-4,91585,1831,1,625,13,1
91585-5,91585,1934,1,150,36,1
65437-0,65437,2130,2,220,99,1
65437-1,65437,2832,1,127,64,1
65437-2,65437,1638,1,632,96,0
65437-3,65437,2812,3,982,48,0
65437-4,65437,2925,1,850,11,0
65437-5,65437,1797,1,918,60,1
65437-6,65437,2736,2,484,22,0
65437-7,65437,2589,1,802,48,0
8646-0,8646,2124,3,572,21,0
8646-1,8646,2592,2,208,20,1
8646-2,8646,1912,1,495,2,0
8646-3,8646,2266,2,434,96,1
8646-4,8646,1450,3,619,77,0
8646-5,8646,3158,2,975,27,1
8646-6,8646,3055,1,199,12,1
8646-7,8646,2127,1,972,55,1
8646-8,8646,2485,1,751,80,1
8646-9,8646,1942,1,906,38,0
89481-0,89481,2193,1,148,97,0
89481-1,89481,1534,1,178,2,1
89481-2,89481,2537,3,320,52,1
89481-3,89481,3111,2,594,53,0
