ID,Address
A60,"Vienna, Elm Street 64935"
B74,"Amsterdam, Fleet Street 781"
A08,"Warsaw, Fleet Street 4505"
A22,"Rome, Oxford Street 1150"
B76,"Lisbon, Main Street 57581"
A29,"London, Wall Street 5871"
A95,"London, Fifth Avenue 568"
A03,"Paris, Fleet Street 4096"
A80,"Warsaw, Elm Street 16896"
A05,"Berlin, Wall Street 2060"
A90,"Berlin, Fleet Street 70738"
B55,"London, Oxford Street 200"
A89,"Rome, High Street 85702"
A67,"Berlin, Elm Street 32881"
B51,"Amsterdam, High Street 809"
B01,"Paris, High Street 8309"
A21,"Rome, High Street 40835"
A07,"Berlin, Elm Street 551"
B22,"Amsterdam, Fleet Street 102"
A49,"Dublin, High Street 8932"
A57,"Paris, Fleet Street 2200"
A65,"Berlin, Elm Street 5782"
A59,"Paris, Fifth Avenue 183"
B32,"Madrid, Wall Street 16677"
A14,"Madrid, Abbey Road 1456"
A52,"Madrid, Elm Street 964"
B08,"Vienna, Park Avenue 7789"
A26,"Paris, Fleet Street 41119"
A68,"Berlin, Park Avenue 412"
A85,"Rome, Elm Street 7956"
B50,"Dublin, Main Street 883"
A55,"Madrid, Elm Street 0791"
A09,"Madrid, Main Street 6425"
A42,"Madrid, Baker Street 8222"
A41,"Berlin, Baker Street 92887"
A99,"Rome, Wall Street 031"
B64,"Lisbon, Wall Street 001"
A11,"Paris, Baker Street 2350"
B09,"Berlin, Abbey Road 7623"
A83,"Dublin, Elm Street 839"
A12,"Berlin, Baker Street 11699"
A81,"Vienna, Wall Street 4759"
B60,"Paris, Wall Street 93998"
B57,"Madrid, Park Avenue 374"
B83,"Lisbon, Abbey Road 7782"
A86,"Amsterdam, Fleet Street 4989"
A82,"Berlin, Elm Street 075"
B82,"London, Baker Street 42833"
B02,"Lisbon, Oxford Street 165"
A13,"Warsaw, Park Avenue 72330"
A93,"Amsterdam, Fifth Avenue 03023"
A06,"Rome, Oxford Street 9004"
B16,"Berlin, Main Street 103"
A25,"Berlin, Elm Street 256"
B45,"Rome, Oxford Street 6809"
B24,"Rome, Elm Street 8661"
A44,"Amsterdam, Baker Street 284"
B14,"Amsterdam, Wall Street 4719"
B54,"Berlin, Elm Street 095"
B31,"Rome, Baker Street 5314"
A02,"Berlin, Park Avenue 5344"
B46,"Madrid, Wall Street 34244"
A47,"Dublin, Fifth Avenue 404"
B07,"Madrid, Elm Street 832"
A43,"Berlin, Fifth Avenue 9669"
A79,"Rome, High Street 8947"
A48,"Rome, Baker Street 65907"
B67,"Paris, Fleet Street 340"
B12,"Paris, Fleet Street 954"
B26,"London, Wall Street 730"
A40,"Lisbon, Abbey Road 197"
B48,"Berlin, Oxford Street 5601"
B10,"Berlin, Fleet Street 099"
A88,"Rome, Wall Street 305"
B04,"Rome, High Street 75047"
A51,"Dublin, Park Avenue 184"
B18,"Paris, Fleet Street 2029"
B53,"Berlin, High Street 77382"
A61,"Rome, Wall Street 2656"
A27,"Paris, High Street 69869"
B49,"Lisbon, Abbey Road 72997"
A33,"London, Fifth Avenue 1125"
A75,"Vienna, Park Avenue 637"
A94,"Dublin, Main Street 8426"
A50,"Paris, Fifth Avenue 935"
A15,"Rome, Park Avenue 8974"
A54,"Madrid, Baker Street 3674"
A16,"Rome, Oxford Street 26266"
B47,"Lisbon, Oxford Street 6417"
A96,"Paris, Fleet Street 3907"
B59,"Vienna, Fifth Avenue 73180"
A30,"Warsaw, Fleet Street 250"
A04,"Warsaw, Elm Street 82590"
B81,"Paris, Park Avenue 0348"
B84,"London, Elm Street 89216"
A39,"Amsterdam, Fifth Avenue 6169"
B42,"Madrid, Oxford Street 4667"
B75,"Warsaw, Park Avenue 9680"
A28,"Paris, Baker Street 9909"
B15,"Rome, High Street 06080"
B05,"Vienna, Abbey Road 465"
A70,"Berlin, Wall Street 755"
B27,"Vienna, Wall Street 347"
B21,"Dublin, Fifth Avenue 267"
B72,"Paris, Fleet Street 6464"
A10,"Dublin, Wall Street 436"
A63,"London, Fifth Avenue 38622"
A58,"Berlin, Fifth Avenue 1978"
A92,"Paris, Fifth Avenue 460"
B56,"Berlin, Oxford Street 328"
B65,"Madrid, Abbey Road 78807"
B58,"Dublin, Fifth Avenue 9858"
B44,"Lisbon, Abbey Road 3992"
A84,"Amsterdam, Fleet Street 01987"
A19,"Paris, Main Street 061"
A31,"Lisbon, Baker Street 072"
A32,"Rome, Fleet Street 9140"
B79,"Berlin, Main Street 83029"
B11,"Paris, High Street 61062"
B71,"Paris, Wall Street 79429"
A18,"Paris, Wall Street 2354"
A17,"Vienna, Fleet Street 2834"
B73,"Rome, Park Avenue 1833"
A62,"London, Wall Street 822"
A66,"Lisbon, High Street 450"
A72,"Dublin, Baker Street 1810"
A76,"Paris, Baker Street 3807"
A56,"Amsterdam, Park Avenue 5212"
A34,"Dublin, Fifth Avenue 745"
A69,"Rome, Main Street 635"
A73,"London, Fleet Street 3523"
B70,"Dublin, High Street 5416"
A87,"Berlin, Abbey Road 1590"
B69,"Rome, Park Avenue 46226"
B17,"Rome, High Street 349"
A46,"Lisbon, Oxford Street 95224"
B66,"Amsterdam, Baker Street 756"
B61,"Madrid, Park Avenue 607"
A36,"Lisbon, Elm Street 65288"
A98,"Dublin, Oxford Street 1667"
B03,"Berlin, Wall Street 85436"
B80,"Paris, Fleet Street 711"
B68,"Paris, Fifth Avenue 475"
B78,"Berlin, Elm Street 2776"
B86,"Madrid, Abbey Road 408"
B87,"Rome, Main Street 7546"
B88,"Rome, Main Street 39185"
B90,"Rome, Wall Street 3870"
B85,"Lisbon, Main Street 663"
